task_type,setting,rte,mean_tqs,lj_score,llm
Entity Recognition,Original,0.369,0.369,0.483,0.483
Entity Recognition,Disturb,0.364,0.364,0.402,0.402
Entity Recognition,Oracle,0.465,0.465,0.519,0.519
Single-hop Attribute Query,Original,0.434,0.434,0.230,0.230
Single-hop Attribute Query,Disturb,0.354,0.354,0.266,0.266
Single-hop Attribute Query,Oracle,0.344,0.344,0.239,0.239
Multi-hop,Original,0.384,0.384,0.223,0.223
Multi-hop,Disturb,0.317,0.317,0.221,0.221
Multi-hop,Oracle,0.326,0.326,0.172,0.172
Comparison,Original,0.352,0.352,0.317,0.317
Comparison,Disturb,0.314,0.314,0.288,0.288
Comparison,Oracle,0.327,0.327,0.462,0.462
Subproblem Aggregation,Original,0.480,0.480,0.690,0.690
Subproblem Aggregation,Disturb,0.404,0.404,0.570,0.570
Subproblem Aggregation,Oracle,0.443,0.443,0.500,0.500
