task_type,setting,rte,mean_tqs,lj_score,llm
Entity Recognition,Original,0.249,0.249,0.390,0.390
Entity Recognition,Disturb,0.251,0.251,0.333,0.333
Entity Recognition,Oracle,0.351,0.351,0.415,0.415
Single-hop Attribute Query,Original,0.391,0.391,0.250,0.250
Single-hop Attribute Query,Disturb,0.316,0.316,0.286,0.286
Single-hop Attribute Query,Oracle,0.320,0.320,0.289,0.289
Multi-hop,Original,0.374,0.374,0.227,0.227
Multi-hop,Disturb,0.330,0.330,0.270,0.270
Multi-hop,Oracle,0.308,0.308,0.239,0.239
Comparison,Original,0.314,0.314,0.290,0.290
Comparison,Disturb,0.276,0.276,0.290,0.290
Comparison,Oracle,0.287,0.287,0.270,0.270
Subproblem Aggregation,Original,0.472,0.472,0.697,0.697
Subproblem Aggregation,Disturb,0.391,0.391,0.572,0.572
Subproblem Aggregation,Oracle,0.318,0.318,0.615,0.615
